gene_ID,Name,moduleColor,MM,Mycobrowser Functional Category,GO-SLIM: biological_process,GO-SLIM: molecular_function
gene:Rv1838c,vapC13,black,0.822013367,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv1839c,vapB13,black,0.815042704,"virulence, detoxification, adaptation",NA,NA
gene:Rv1840c,PE_PGRS34,turquoise,0.548273435,PE/PPE,NA,NA
gene:Rv1841c,Rv1841c,darkred,0.790080331,cell wall and cell processes,NA,NA
gene:Rv1842c,Rv1842c,blue,0.080588564,cell wall and cell processes,NA,NA
gene:Rv1843c,guaB1,thistle1,0.738442169,intermediary metabolism and respiration,nucleobase-containing small molecule metabolic process,oxidoreductase activity
gene:Rv1844c,gnd1,thistle1,0.779116655,intermediary metabolism and respiration,"carbohydrate metabolic process, carbohydrate derivative metabolic process, generation of precursor metabolites and energy",oxidoreductase activity
gene:Rv1845c,blaR,thistle1,0.63379868,cell wall and cell processes,NA,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv1846c,blaI,black,0.555554413,regulatory proteins,"regulation of transcription, DNA-templated",DNA binding
gene:Rv1847,Rv1847,grey60,0.90891097,conserved hypotheticals,NA,hydrolase activity
gene:Rv1848,ureA,grey60,0.727342107,intermediary metabolism and respiration,nitrogen cycle metabolic process,hydrolase activity
gene:Rv1849,ureB,lightcyan,0.687128833,intermediary metabolism and respiration,nitrogen cycle metabolic process,hydrolase activity
gene:Rv1850,ureC,brown,0.585293788,intermediary metabolism and respiration,nitrogen cycle metabolic process,hydrolase activity
gene:Rv1851,ureF,lightcyan,0.702419094,intermediary metabolism and respiration,NA,NA
gene:Rv1852,ureG,lightcyan,0.491909517,intermediary metabolism and respiration,NA,GTPase activity
gene:Rv1853,ureD,turquoise,-0.063275434,intermediary metabolism and respiration,NA,NA
gene:Rv1854c,ndh,salmon4,0.945324685,intermediary metabolism and respiration,generation of precursor metabolites and energy,oxidoreductase activity
gene:Rv1855c,Rv1855c,turquoise,0.66067039,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1856c,Rv1856c,saddlebrown,0.896047112,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv1857,modA,darkred,0.670824346,cell wall and cell processes,NA,NA
gene:Rv1858,modB,brown,0.740114239,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv1859,modC,turquoise,0.689693728,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv1860,apa,darkred,0.639316331,cell wall and cell processes,NA,NA
gene:Rv1861,Rv1861,grey,-0.177400641,cell wall and cell processes,NA,NA
gene:Rv1862,adhA,white,0.661395507,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1863c,Rv1863c,blue,0.561927347,cell wall and cell processes,protein maturation,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv1864c,Rv1864c,steelblue,0.689960526,conserved hypotheticals,NA,NA
gene:Rv1865c,Rv1865c,yellowgreen,0.631673022,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1866,Rv1866,greenyellow,0.796400274,lipid metabolism,NA,NA
gene:Rv1867,Rv1867,midnightblue,0.667151187,lipid metabolism,lipid metabolic process,transferase activity
gene:Rv1868,Rv1868,yellow,0.745965367,conserved hypotheticals,NA,NA
gene:Rv1869c,Rv1869c,brown,0.65828921,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1870c,Rv1870c,pink,0.451131062,conserved hypotheticals,DNA repair,NA
gene:Rv1871c,Rv1871c,darkorange2,0.884016505,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv1872c,lldD2,darkorange2,0.93666698,intermediary metabolism and respiration,NA,NA
gene:Rv1873,Rv1873,darkturquoise,0.804218764,conserved hypotheticals,NA,NA
gene:Rv1874,Rv1874,green,0.866996159,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv1875,Rv1875,green,0.886579156,conserved hypotheticals,metal ion homeostasis,oxidoreductase activity
gene:Rv1876,bfrA,yellow,0.469870167,intermediary metabolism and respiration,NA,NA
gene:Rv1877,Rv1877,palevioletred3,0.755264295,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv1878,glnA3,greenyellow,0.751791398,intermediary metabolism and respiration,"protein-containing complex assembly, cellular amino acid metabolic process",ligase activity
gene:Rv1879,Rv1879,greenyellow,0.655497159,conserved hypotheticals,NA,hydrolase activity
gene:Rv1880c,cyp140,blue,0.087981807,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1881c,lppE,midnightblue,0.844799094,cell wall and cell processes,NA,NA
gene:Rv1882c,Rv1882c,pink,0.785697369,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1883c,Rv1883c,midnightblue,0.889951559,conserved hypotheticals,NA,NA
gene:Rv1884c,rpfC,midnightblue,0.883957162,cell wall and cell processes,NA,hydrolase activity
gene:Rv1885c,Rv1885c,blue,0.755063472,intermediary metabolism and respiration,NA,isomerase activity
gene:Rv1886c,fbpB,blue,0.749398703,lipid metabolism,cell wall organization or biogenesis,transferase activity
gene:Rv1887,Rv1887,brown,0.765810586,conserved hypotheticals,NA,NA
gene:Rv1888c,Rv1888c,lightgreen,0.843158321,cell wall and cell processes,NA,NA
gene:Rv1888A,Rv1888A,ivory,0.732729717,conserved hypotheticals,NA,transferase activity
gene:Rv1889c,Rv1889c,black,0.781652811,conserved hypotheticals,NA,transferase activity
gene:Rv1890c,Rv1890c,green,0.841461293,conserved hypotheticals,NA,NA
gene:Rv1891,Rv1891,skyblue3,0.868100545,conserved hypotheticals,NA,NA
gene:Rv1892,Rv1892,skyblue3,0.884493614,cell wall and cell processes,NA,NA
gene:Rv1893,Rv1893,skyblue3,0.889809295,conserved hypotheticals,NA,NA
gene:Rv1894c,Rv1894c,royalblue,0.870482809,conserved hypotheticals,lipid metabolic process,"transferase activity, oxidoreductase activity"
gene:Rv1895,Rv1895,green,0.934073428,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1896c,Rv1896c,greenyellow,0.671769442,conserved hypotheticals,NA,transferase activity
gene:Rv1897c,Rv1897c,yellow,0.397052722,conserved hypotheticals,NA,NA
gene:Rv1898,Rv1898,lightgreen,0.884179398,conserved hypotheticals,NA,NA
gene:Rv1899c,lppD,turquoise,0.407466844,cell wall and cell processes,NA,NA
gene:Rv1900c,lipJ,turquoise,0.562051096,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, signaling, intracellular, detoxification","lyase activity, cyclase activity, oxidoreductase activity, antioxidant activity, hydrolase activity"
gene:Rv1901,cinA,brown,0.78761854,"virulence, detoxification, adaptation",NA,NA
gene:Rv1902c,nanT,black,0.657226691,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv1903,Rv1903,brown,0.410019816,cell wall and cell processes,NA,NA
gene:Rv1904,Rv1904,darkorange2,0.906116701,conserved hypotheticals,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated"
gene:Rv1905c,aao,blue,0.120329317,intermediary metabolism and respiration,cellular amino acid metabolic process,oxidoreductase activity
gene:Rv1906c,Rv1906c,royalblue,0.202672618,conserved hypotheticals,NA,NA
gene:Rv1907c,Rv1907c,lightgreen,0.737723759,conserved hypotheticals,NA,NA
gene:Rv1908c,katG,green,0.735620857,"virulence, detoxification, adaptation",detoxification,"oxidoreductase activity, antioxidant activity"
gene:Rv1909c,furA,green,0.891560543,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv1910c,Rv1910c,green,0.628757908,cell wall and cell processes,NA,NA
gene:Rv1911c,lppC,green,0.526440678,cell wall and cell processes,NA,NA
gene:Rv1912c,fadB5,darkolivegreen,0.607247046,lipid metabolism,NA,oxidoreductase activity
gene:Rv1913,Rv1913,green,0.508770468,conserved hypotheticals,NA,NA
gene:Rv1914c,Rv1914c,blue,0.138769422,conserved hypotheticals,NA,NA
gene:Rv1915,aceAa,darkolivegreen,0.742968135,intermediary metabolism and respiration,carbohydrate metabolic process,lyase activity
gene:Rv1916,aceAb,lightgreen,0.791908325,intermediary metabolism and respiration,NA,lyase activity
gene:Rv1917c,PPE34,greenyellow,0.77441014,PE/PPE,NA,NA
gene:Rv1918c,PPE35,midnightblue,0.801016152,PE/PPE,NA,NA
gene:Rv1919c,Rv1919c,midnightblue,0.884085472,conserved hypotheticals,NA,NA
gene:Rv1920,Rv1920,black,0.338335443,cell wall and cell processes,NA,transferase activity
gene:Rv1921c,lppF,yellow,0.565406722,cell wall and cell processes,NA,NA
gene:Rv1922,Rv1922,green,0.750858703,cell wall and cell processes,NA,NA
gene:Rv1923,lipD,midnightblue,0.682261963,intermediary metabolism and respiration,NA,NA
gene:Rv1924c,Rv1924c,blue,0.453984808,conserved hypotheticals,NA,NA
gene:Rv1925,fadD31,darkolivegreen,0.723846694,lipid metabolism,lipid metabolic process,"transferase activity, ligase activity"
gene:Rv1926c,mpt63,ivory,0.810957007,cell wall and cell processes,NA,NA
gene:Rv1927,Rv1927,black,0.817788969,conserved hypotheticals,NA,NA
gene:Rv1928c,Rv1928c,greenyellow,0.584388623,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1929c,Rv1929c,yellow,0.828431873,conserved hypotheticals,NA,NA
gene:Rv1930c,Rv1930c,darkolivegreen,0.749621166,conserved hypotheticals,NA,NA
gene:Rv1931c,Rv1931c,lightgreen,0.593261228,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv1932,tpx,lightyellow,0.779910165,"virulence, detoxification, adaptation",detoxification,"oxidoreductase activity, antioxidant activity"
gene:Rv1933c,fadE18,yellow,0.246386582,lipid metabolism,NA,oxidoreductase activity
gene:Rv1934c,fadE17,yellow,0.516052281,lipid metabolism,NA,oxidoreductase activity
gene:Rv1935c,echA13,yellow,0.581461526,lipid metabolism,lipid metabolic process,lyase activity
gene:Rv1936,Rv1936,purple,0.815112704,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1937,Rv1937,purple,0.793582515,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1938,ephB,purple,0.711880358,"virulence, detoxification, adaptation",NA,hydrolase activity
gene:Rv1939,Rv1939,darkturquoise,0.574569382,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1940,ribA1,darkslateblue,0.67217759,intermediary metabolism and respiration,vitamin metabolic process,"hydrolase activity, lyase activity"
gene:Rv1941,Rv1941,brown,0.510553087,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv1942c,mazF5,black,0.567442213,"virulence, detoxification, adaptation",mRNA metabolic process,"catalytic activity, acting on RNA, hydrolase activity, DNA binding"
gene:Rv1943c,mazE5,black,0.610306821,"virulence, detoxification, adaptation",NA,NA
gene:Rv1944c,Rv1944c,yellowgreen,0.50572062,conserved hypotheticals,NA,NA
gene:Rv1945,Rv1945,turquoise,0.325333829,insertion seqs and phages,NA,hydrolase activity
gene:Rv1946c,lppG,purple,0.689585652,cell wall and cell processes,NA,NA
gene:Rv1947,Rv1947,blue,0.794060705,conserved hypotheticals,NA,NA
gene:Rv1948c,Rv1948c,black,0.61019051,conserved hypotheticals,NA,NA
gene:Rv1949c,Rv1949c,black,0.440281571,conserved hypotheticals,NA,NA
gene:Rv1950c,Rv1950c,steelblue,0.379119488,conserved hypotheticals,NA,NA
gene:Rv1951c,Rv1951c,green,0.803390572,conserved hypotheticals,NA,NA
gene:Rv1952,vapB14,purple,0.422811389,"virulence, detoxification, adaptation","regulation of transcription, DNA-templated",NA
gene:Rv1953,vapC14,salmon,0.060731356,"virulence, detoxification, adaptation",NA,hydrolase activity
gene:Rv1954c,Rv1954c,yellow,0.769889937,conserved hypotheticals,NA,NA
gene:Rv1954A,Rv1954A,purple,0.939724813,unknown,NA,NA
gene:Rv1955,higB,purple,0.93444593,"virulence, detoxification, adaptation",NA,NA
gene:Rv1956,higA,purple,0.874106522,"virulence, detoxification, adaptation",NA,NA
gene:Rv1957,Rv1957,purple,0.792819836,conserved hypotheticals,NA,NA
gene:Rv1958c,Rv1958c,paleturquoise,0.878237995,conserved hypotheticals,NA,NA
gene:Rv1959c,parE1,black,0.516263531,"virulence, detoxification, adaptation",NA,NA
gene:Rv1960c,parD1,green,0.709293956,"virulence, detoxification, adaptation","detoxification, regulation of transcription, DNA-templated",molecular sequestering activity
gene:Rv1961,Rv1961,yellow,0.730585865,conserved hypotheticals,NA,NA
gene:Rv1962c,vapC35,black,0.784965301,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv1962A,vapB35,black,0.804717113,"virulence, detoxification, adaptation",NA,molecular sequestering activity
gene:Rv1963c,mce3R,purple,0.582548295,regulatory proteins,"regulation of transcription, DNA-templated, lipid metabolic process","DNA binding, regulation of transcription, DNA-templated"
gene:Rv1964,yrbE3A,bisque4,0.764529766,"virulence, detoxification, adaptation",NA,transporter activity
gene:Rv1965,yrbE3B,bisque4,0.694999124,"virulence, detoxification, adaptation",NA,transporter activity
gene:Rv1966,mce3A,bisque4,0.76169664,"virulence, detoxification, adaptation",NA,NA
gene:Rv1967,mce3B,bisque4,0.766045269,"virulence, detoxification, adaptation",NA,NA
gene:Rv1968,mce3C,bisque4,0.78614311,"virulence, detoxification, adaptation",NA,NA
gene:Rv1969,mce3D,yellow,0.434435038,"virulence, detoxification, adaptation",NA,NA
gene:Rv1970,lprM,bisque4,0.733996674,cell wall and cell processes,NA,NA
gene:Rv1971,mce3F,bisque4,0.721852844,"virulence, detoxification, adaptation",NA,NA
gene:Rv1972,Rv1972,bisque4,0.780920111,cell wall and cell processes,NA,NA
gene:Rv1973,Rv1973,darkslateblue,0.846926219,cell wall and cell processes,NA,NA
gene:Rv1974,Rv1974,bisque4,0.796980683,cell wall and cell processes,NA,NA
gene:Rv1975,Rv1975,bisque4,0.785477301,conserved hypotheticals,NA,NA
gene:Rv1976c,Rv1976c,lightgreen,0.893768099,conserved hypotheticals,NA,NA
gene:Rv1977,Rv1977,white,0.816139626,conserved hypotheticals,protein catabolic process,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv1978,Rv1978,red,0.599096735,conserved hypotheticals,NA,NA
gene:Rv1979c,Rv1979c,blue,0.558854615,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv1980c,mpt64,brown,0.651952636,cell wall and cell processes,NA,NA
gene:Rv1981c,nrdF1,grey60,0.776196848,information pathways,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, DNA replication",oxidoreductase activity
gene:Rv1982c,vapC36,black,0.691737508,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv1982A,vapB36,darkolivegreen,0.849742136,"virulence, detoxification, adaptation",NA,NA
gene:Rv1983,PE_PGRS35,purple,0.528664329,PE/PPE,NA,NA
gene:Rv1984c,cfp21,blue,0.397591916,cell wall and cell processes,NA,NA
gene:Rv1985c,Rv1985c,green,0.871167435,regulatory proteins,NA,NA
gene:Rv1986,Rv1986,grey60,0.870695369,cell wall and cell processes,NA,NA
gene:Rv1987,Rv1987,lightyellow,0.774731741,cell wall and cell processes,carbohydrate metabolic process,hydrolase activity
gene:Rv1988,erm(37),ivory,0.526590928,intermediary metabolism and respiration,ribosome biogenesis,"ribosome biogenesis, catalytic activity, acting on RNA, transferase activity, RNA binding"
gene:Rv1989c,Rv1989c,ivory,0.898537271,conserved hypotheticals,NA,NA
gene:Rv1990c,Rv1990c,ivory,0.903747423,regulatory proteins,NA,NA
gene:Rv1990A,Rv1990A,purple,0.820798112,intermediary metabolism and respiration,NA,NA
gene:Rv1991c,mazF6,greenyellow,0.53177571,"virulence, detoxification, adaptation",mRNA metabolic process,"catalytic activity, acting on RNA, hydrolase activity, DNA binding"
gene:Rv1991A,mazE6,purple,0.729073616,"virulence, detoxification, adaptation","detoxification, regulation of transcription, DNA-templated","DNA binding, molecular sequestering activity"
gene:Rv1992c,ctpG,purple,0.888558547,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity, hydrolase activity"
gene:Rv1993c,Rv1993c,purple,0.872426919,conserved hypotheticals,NA,NA
gene:Rv1994c,cmtR,purple,0.877412048,regulatory proteins,"regulation of transcription, DNA-templated","DNA binding, small molecule sensor activity, regulation of transcription, DNA-templated"
gene:Rv1995,Rv1995,purple,0.804320018,conserved hypotheticals,NA,NA
gene:Rv1996,Rv1996,cyan,0.93786299,"virulence, detoxification, adaptation",NA,NA
gene:Rv1997,ctpF,cyan,0.934001147,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity, hydrolase activity"
gene:Rv1998c,Rv1998c,salmon,0.72305356,conserved hypotheticals,NA,NA
gene:Rv1999c,Rv1999c,purple,0.63816471,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv2000,Rv2000,greenyellow,0.377823468,conserved hypotheticals,NA,NA
gene:Rv2001,Rv2001,sienna3,0.694222301,conserved hypotheticals,lipid metabolic process,hydrolase activity
gene:Rv2002,fabG3,blue,0.617686374,lipid metabolism,lipid metabolic process,oxidoreductase activity
gene:Rv2003c,Rv2003c,cyan,0.823429727,conserved hypotheticals,NA,transferase activity
gene:Rv2004c,Rv2004c,cyan,0.802519504,conserved hypotheticals,NA,NA
gene:Rv2005c,Rv2005c,cyan,0.801400986,"virulence, detoxification, adaptation",NA,NA
gene:Rv2006,otsB1,cyan,0.811352414,"virulence, detoxification, adaptation",NA,NA
gene:Rv2007c,fdxA,cyan,0.820433047,intermediary metabolism and respiration,generation of precursor metabolites and energy,"generation of precursor metabolites and energy, oxidoreductase activity"
gene:Rv2008c,Rv2008c,paleturquoise,0.834901083,conserved hypotheticals,NA,NA
gene:Rv2009,vapB15,greenyellow,0.732503523,"virulence, detoxification, adaptation",NA,NA
gene:Rv2010,vapC15,yellow,0.103366824,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv2011c,Rv2011c,green,0.879726718,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated"
gene:Rv2012,Rv2012,green,0.934434922,conserved hypotheticals,NA,NA
gene:Rv2013,Rv2013,yellow,0.886260066,insertion seqs and phages,DNA recombination,"catalytic activity, acting on DNA, DNA binding"
gene:Rv2014,Rv2014,yellow,0.765007921,insertion seqs and phages,DNA recombination,"catalytic activity, acting on DNA, DNA binding"
gene:Rv2015c,Rv2015c,magenta,0.49239078,conserved hypotheticals,NA,hydrolase activity
gene:Rv2016,Rv2016,green,0.857102044,conserved hypotheticals,NA,NA
gene:Rv2017,Rv2017,green,0.886209065,regulatory proteins,NA,DNA binding
gene:Rv2018,Rv2018,green,0.893662963,conserved hypotheticals,NA,NA
gene:Rv2019,Rv2019,paleturquoise,0.737386921,conserved hypotheticals,NA,NA
gene:Rv2020c,Rv2020c,green,0.79044708,conserved hypotheticals,NA,NA
gene:Rv2021c,Rv2021c,purple,0.809429673,regulatory proteins,NA,NA
gene:Rv2022c,Rv2022c,purple,0.816784096,conserved hypotheticals,NA,NA
gene:Rv2023c,Rv2023c,lightyellow,0.54895814,conserved hypotheticals,NA,NA
gene:Rv2024c,Rv2024c,saddlebrown,0.711521994,conserved hypotheticals,NA,"DNA binding, hydrolase activity"
gene:Rv2025c,Rv2025c,ivory,0.888971459,cell wall and cell processes,"metal ion homeostasis, transmembrane transport","transmembrane transport, transporter activity"
gene:Rv2026c,Rv2026c,ivory,0.896664048,"virulence, detoxification, adaptation",NA,NA
gene:Rv2027c,dosT,black,0.299584766,regulatory proteins,"protein modification process, signaling, intracellular","catalytic activity, acting on a protein, transferase activity, protein modification process, small molecule sensor activity, signaling"
gene:Rv2028c,Rv2028c,cyan,0.693896538,"virulence, detoxification, adaptation",NA,NA
gene:Rv2029c,pfkB,cyan,0.727654194,intermediary metabolism and respiration,"carbohydrate metabolic process, carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy","carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, carbohydrate metabolic process, transferase activity"
gene:Rv2030c,Rv2030c,cyan,0.852937252,conserved hypotheticals,NA,transferase activity
gene:Rv2031c,hspX,cyan,0.896770487,"virulence, detoxification, adaptation","protein modification process, protein folding",protein folding chaperone
gene:Rv2032,acg,cyan,0.944133064,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv2033c,Rv2033c,lightyellow,0.679908098,conserved hypotheticals,NA,NA
gene:Rv2034,Rv2034,purple,0.884704177,regulatory proteins,"regulation of transcription, DNA-templated","DNA binding, regulation of transcription, DNA-templated"
gene:Rv2035,Rv2035,purple,0.958917833,conserved hypotheticals,NA,NA
gene:Rv2036,Rv2036,purple,0.930564485,conserved hypotheticals,NA,NA
gene:Rv2037c,Rv2037c,green,0.731775757,cell wall and cell processes,lipid metabolic process,hydrolase activity
gene:Rv2038c,Rv2038c,blue,0.353830158,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv2039c,Rv2039c,blue,0.255755357,cell wall and cell processes,transmembrane transport,NA
gene:Rv2040c,Rv2040c,blue,0.308336068,cell wall and cell processes,transmembrane transport,NA
gene:Rv2041c,Rv2041c,lightgreen,0.480982176,cell wall and cell processes,NA,NA
gene:Rv2042c,Rv2042c,darkolivegreen,0.710667309,conserved hypotheticals,NA,NA
gene:Rv2043c,pncA,darkolivegreen,0.868637768,intermediary metabolism and respiration,"vitamin metabolic process, nucleobase-containing small molecule metabolic process",hydrolase activity
gene:Rv2044c,Rv2044c,lightgreen,0.374991758,conserved hypotheticals,NA,NA
gene:Rv2045c,lipT,white,0.583441052,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv2046,lppI,brown,0.232510178,cell wall and cell processes,NA,NA
gene:Rv2047c,Rv2047c,darkred,0.787138615,conserved hypotheticals,NA,"lyase activity, transferase activity"
gene:Rv2048c,pks12,darkred,0.77641551,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, oxidoreductase activity"
gene:Rv2049c,Rv2049c,blue,0.325295632,conserved hypotheticals,NA,NA
gene:Rv2050,Rv2050,royalblue,0.861930049,conserved hypotheticals,NA,NA
gene:Rv2051c,ppm1,darkgrey,0.793120114,cell wall and cell processes,"carbohydrate derivative metabolic process, lipid metabolic process","transferase activity, hydrolase activity"
gene:Rv2052c,Rv2052c,turquoise,-0.086826851,conserved hypotheticals,NA,hydrolase activity
gene:Rv2053c,fxsA,turquoise,0.215645489,cell wall and cell processes,NA,NA
gene:Rv2054,Rv2054,pink,0.841997542,conserved hypotheticals,NA,hydrolase activity
gene:Rv2055c,rpsR2,darkorange,0.640845,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv2056c,rpsN2,darkorange,0.435800051,information pathways,NA,NA
gene:Rv2057c,rpmG1,darkorange,0.615153589,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv2058c,rpmB2,darkorange,0.607580466,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv2059,Rv2059,darkred,0.642096313,conserved hypotheticals,NA,NA
gene:Rv2060,Rv2060,pink,0.462699912,cell wall and cell processes,transmembrane transport,NA
gene:Rv2061c,Rv2061c,darkorange,0.577054905,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv2062c,cobN,brown,0.93341448,intermediary metabolism and respiration,vitamin metabolic process,ligase activity
gene:Rv2063,mazE7,turquoise,0.077635437,"virulence, detoxification, adaptation",detoxification,DNA binding
gene:Rv2063A,mazF7,turquoise,0.109479194,"virulence, detoxification, adaptation",mRNA metabolic process,"catalytic activity, acting on RNA, hydrolase activity, DNA binding"
gene:Rv2064,cobG,turquoise,0.126015568,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv2065,cobH,brown,0.911615795,intermediary metabolism and respiration,vitamin metabolic process,isomerase activity
gene:Rv2066,cobIJ,brown,0.895978223,NULL,vitamin metabolic process,transferase activity
gene:Rv2067c,Rv2067c,black,0.435569833,conserved hypotheticals,NA,NA
gene:Rv2068c,blaC,lightsteelblue1,0.649779378,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv2069,sigC,black,0.848691189,information pathways,"regulation of transcription, DNA-templated, transcription, DNA-templated","DNA binding, regulation of transcription, DNA-templated"
gene:Rv2070c,cobK,greenyellow,0.228606032,intermediary metabolism and respiration,vitamin metabolic process,oxidoreductase activity
gene:Rv2071c,cobM,lightcyan,0.51758138,intermediary metabolism and respiration,vitamin metabolic process,transferase activity
gene:Rv2072c,cobL,lightcyan,0.571707217,intermediary metabolism and respiration,"vitamin metabolic process, protein modification process","transferase activity, protein modification process, catalytic activity, acting on a protein"
gene:Rv2073c,Rv2073c,lightcyan,0.190696264,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv2074,Rv2074,magenta,0.867885611,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv2075c,Rv2075c,yellow,0.162164467,cell wall and cell processes,lipid metabolic process,hydrolase activity
gene:Rv2076c,Rv2076c,yellow,0.781146118,conserved hypotheticals,NA,NA
gene:Rv2077c,Rv2077c,floralwhite,0.887800325,cell wall and cell processes,NA,NA
gene:Rv2077A,Rv2077A,yellow,0.186527708,conserved hypotheticals,NA,NA
gene:Rv2078,Rv2078,yellowgreen,0.636416545,conserved hypotheticals,NA,NA
gene:Rv2079,Rv2079,lightyellow,0.623099661,conserved hypotheticals,NA,NA
gene:Rv2080,lppJ,tan,0.625109407,cell wall and cell processes,NA,NA
gene:Rv2081c,Rv2081c,cyan,0.611573761,cell wall and cell processes,NA,NA
gene:Rv2082,Rv2082,pink,0.717415944,conserved hypotheticals,NA,NA
gene:Rv2083,Rv2083,magenta,0.855904464,conserved hypotheticals,NA,NA
gene:Rv2084,Rv2084,pink,0.904871235,unknown,NA,NA
gene:Rv2085,Rv2085,pink,0.907571006,insertion seqs and phages,NA,NA
gene:Rv2086,Rv2086,magenta,0.641217408,insertion seqs and phages,NA,NA
gene:Rv2087,Rv2087,purple,0.543765816,insertion seqs and phages,NA,NA
gene:Rv2088,pknJ,steelblue,0.826129032,regulatory proteins,protein modification process,"catalytic activity, acting on a protein, transferase activity"
gene:Rv2089c,pepE,green,0.746788159,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv2090,Rv2090,midnightblue,0.488606574,information pathways,DNA replication,"DNA binding, catalytic activity, acting on DNA, hydrolase activity"
gene:Rv2091c,Rv2091c,white,0.693862291,cell wall and cell processes,NA,NA
gene:Rv2092c,helY,brown,0.558630855,information pathways,NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv2093c,tatC,darkmagenta,0.718984027,cell wall and cell processes,"transmembrane transport, intracellular protein transport","transmembrane transport, transporter activity"
gene:Rv2094c,tatA,darkmagenta,0.873488947,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv2095c,pafC,darkorange,0.858303763,intermediary metabolism and respiration,NA,NA
gene:Rv2096c,pafB,tan,0.51724819,intermediary metabolism and respiration,NA,NA
gene:Rv2097c,pafA,steelblue,0.772759157,intermediary metabolism and respiration,"protein modification process, protein catabolic process","ligase activity, catalytic activity, acting on a protein, transferase activity"
gene:Rv2100,Rv2100,brown,0.374130958,insertion seqs and phages,NA,NA
gene:Rv2101,helZ,pink,0.883666526,information pathways,chromatin organization,"DNA binding, catalytic activity, acting on DNA, chromatin organization"
gene:Rv2102,Rv2102,pink,0.908203153,conserved hypotheticals,NA,NA
gene:Rv2103c,vapC37,skyblue,0.57475872,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv2104c,vapB37,red,0.159569163,"virulence, detoxification, adaptation",NA,NA
